id,title,idItem,postDate,text,NER,correction,auteur,guid
0,"Alain Juppé sur l’impôt sur les sociétés : ""Il faut harmoniser les bases d’imposition des sociétés dans l’Union européenne""",1498,2016-12-28 14:31:21,"Dans son programme politique lors de la campagne de la primaire de la droite et du centre, Alain Juppé propose d’harmoniser les bases d’imposition des sociétés des États membres de l’Union européenne.

Or, premièrement, la France n’est pas seule à pouvoir décider d’une telle mesure. La procédure prévue à l’article 115 TFUE requiert l’unanimité au sein du Conseil, soit les 28 membres de cette institution. Deuxièmement, une proposition législative existe déjà depuis 2011, et a été relancée en octobre 2016. Le projet de directive de l’Union est sur le point d’aboutir, et n’attend plus désormais qu’un avis du Parlement européen et une décision à l’unanimité du Conseil. Seuls votent les États membres qui font partie de cette coopération renforcée. Le projet de directive prévoit notamment une assiette commune d’imposition des sociétés dont le groupe excède 750 million € de chiffre d’affaire.","(Alain Juppé, États, Union européenne, la France, Conseil, Union, Parlement européen, Conseil, États)","L’affirmation dans le programme d’Alais Juppé doit être tempérée. Non seulement une proposition existe déjà et est sur le point d’aboutir, mais aussi toute décision sur cette harmonisation requiert l’unanimité des 28 États membres.","Vincent Couronne, le 28 décembre 2016",https://lessurligneurs.eu/?p=1498
1,"François Fillon : ""L’adoption plénière est contraire à la CEDH""",1500,2016-12-26 17:03:00,"François Fillon a soutenu, lors du débat télévisé de la primaire de la droit et du centre, que la législation actuelle sur l’adoption plénière est contraire au droit de la filiation consacré par la Convention européenne des droits de l’homme car le nom des parents biologiques n’est pas mentionné sur le livret de famille. Le droit à la filiation n’est pas consacré directement par la CEDH mais résulte de l’interprétation de la Cour européenne des droits de l’homme de l’article 8 relatif droit à la vie familiale et droit au respect de la vie privée.

Si la Cour a estimé que le respect de la vie privée exige que chacun puisse établir son identité et donc établir sa filiation, elle a pour l’instant limité l’utilisation de ce mécanisme dans les cas où des enfants nés de GPA à l’étranger se voyaient refuser l’accès à la nationalité française. En outre elle ne s’est opposée ni au mécanisme de l’accouchement sous X, ni à l’adoption plénière telle que prévue par la législation française.","(François Fillon, Convention européenne des droits de l’homme, CEDH, Cour européenne des droits de l’homme, Cour, X)","Non, l’adoption plénière n’est pas contraire au droit à la filiation tel qu’entendu par la Convention européenne des droits de l’homme.","Lauriane Tanguy, le 26 décembre 2016",https://lessurligneurs.eu/?p=1500
2,"Jean-Luc Mélenchon sur la mission de la sonde Rosetta : ""Adieu à Rosetta. Dernière mission interplanétaire française. Depuis : rien !""",1506,2016-12-26 16:55:44,"Jean-Luc Mélenchon a écrit sur son compte Twitter au moment où la mission de la sonde Rosetta touchait à sa fin, qu’elle était la « dernière mission interplanétaire française ». Doublement faux.
D’abord, la sonde Rosetta est une mission de l’Agence spatiale européenne (ESA) née en 1993. L’ESA est une organisation intergouvernementale issue d’une convention du 30 mai 1975. Elle réunit 22 États, dont 2 (la Norvège et la Suisse) ne sont pas membres de l’UE. Son siège est à Paris. Ensuite, ce n’est pas la dernière : le 19 octobre prochain, la sonde et l’atterrisseur de la mission ExoMars, de l’ESA, en route depuis mars 2016, intercepteront la planète rouge.","(Jean-Luc Mélenchon, Twitter, Rosetta, Rosetta, Agence spatiale européenne, ESA, ESA, États, Norvège, Suisse, UE, Paris, ExoMars, ESA)","Non, Rosetta n’est pas une mission française, mais une mission européenne. Et elle n’est pas la dernière, la suivante étant déjà en route vers Mars. ","V. C., le 26 décembre 2016",https://lessurligneurs.eu/?p=1506
3,"Marine Le Pen contre la gratuité de la scolarisation des enfants d’étrangers : ""Demander une participation aux étrangers pour la scolarisation de leurs enfants en France est une mesure qui ne me choque pas""",1508,2016-12-25 20:58:09,"En droit français, il n’existe pas de principe général de gratuité des services publics. Mais rien n’empêche le législateur de l’instituer au cas par cas. Cette possibilité ne peut concerner que les services publics administratifs dits obligatoires, c’est-à-dire ceux que les collectivités publiques sont légalement tenues d’assurer. S’il s’agit en revanche de services facultatifs, alors, il n’existe aucun obstacle de principe qui interdise de subordonner les prestations de ces services au versement d’une redevance.
En ce qui concerne la scolarisation : l’enseignement public est, en France, un « service public administratif obligatoire ». Le principe de gratuité de l’enseignement primaire public a ainsi été posé dès la fin du XIXe siècle par la loi du 16 juin 1881 établissant la gratuité absolue de l’enseignement primaire dans les écoles publiques. La gratuité a été étendue à l’enseignement secondaire par la loi du 31 mai 1933. L’enseignement dispensé dans les écoles et les établissements publics est donc gratuit, comme le précise le code de l’éducation.

La gratuité est un dérivé du principe d’égalité de tous devant les services publics, ce dernier s’énonce aux articles 1er de la Déclaration des droits de l’Homme et 1er de notre Constitution. Le Conseil constitutionnel l’a reconnu  comme un « principe de valeur constitutionnelle » et le Conseil d’Etat, quant à lui, comme un principe général du droit.","(France, Déclaration des droits de l’Homme et 1er de notre Constitution, Conseil constitutionnel, Conseil d’Etat)",Subordonner la scolarité obligatoire des enfants étrangers (en situation irrégulière ou non) âgés de six à seize ans à une contribution financière serait pour le moins anticonstitutionnel.,"Raphaël Matta-Duvignau, le 25 décembre 2016",https://lessurligneurs.eu/?p=1508
4,"Marine Le Pen sur les enfants d’étrangers en situation irrégulière, ne veut ""plus de scolarisation des clandestins""",1510,2016-12-25 20:36:47,"

Cette position de principe ne peut résister à l’état du droit positif.

En 1792, dans son Rapport sur l’instruction publique, Condorcet affirmait que tous les citoyens devaient avoir accès à l’instruction. Les lois de Jules Ferry de 1881 et 1882 mettent en place un enseignement primaire obligatoire, laïque et gratuit. Sa reconnaissance constitutionnelle n’est intervenue qu’en 1946 avec le préambule de la Constitution de la IVe République (art. 13). Actuellement, le Code de l’éducation (art. L111-2) dispose que tout enfant a droit à une formation scolaire. La République reconnaît ainsi aux étrangers, même en situation irrégulière, le droit à la scolarisation : tout enfant mineur entre six et seize ans, étranger ou non, présent et résidant sur le territoire national a le droit d’être scolarisé, sans considération de la régularité du séjour de ses parents ni de ses propres conditions d’entrée.

Pour inscrire leurs enfants à l’école, les parents doivent simplement apporter la preuve de l’identité de l’enfant, de leur domicile et du respect des obligations de vaccination de l’enfant. Par ailleurs, une circulaire ministérielle du 20 mars 2002 précise qu’il n’appartient pas à l’éducation nationale de contrôler la régularité du séjour des enfants ou de leurs parents.

Par ailleurs, la France a ratifié de nombreuses conventions internationales consacrant le droit – fondamental – à l’éducation : on nommera notamment la Convention relative aux droits de l’enfant (art. 2, 9, 28 et 29) et la Convention européenne des droits de l’Homme (art. 2 du premier protocole additionnel).

","(Rapport sur l’instruction publique, Condorcet, Jules Ferry, Constitution de la IVe République, Code de l’éducation, L111, République, la France, Convention, Convention européenne des droits de l’Homme)","En l’état actuel de l’ordonnancement juridique et compte tenu des obligations conventionnelles, il paraît difficile d’envisager d’interdire aux enfants mineurs de six à seize ans, même séjournant irrégulièrement sur le territoire national, d’être scolarisés.","Raphaël Matta-Duvignau, le 25 décembre 2016",https://lessurligneurs.eu/?p=1510
5,"Alain Juppé : ""Le droit à l’avortement est un droit fondamental""",1512,2016-12-25 20:39:51,"Le droit à l’avortement, que la loi nomme « interruption volontaire de grossesse », est un droit acquis par les femmes lors de la loi Veil en 1975. Rien dans cette loi ne dit que ce droit est un droit fondamental.

En 2014, l’Assemblée nationale a adopté une résolution qui « réaffirme l’importance du droit fondamental à l’interruption volontaire de grossesse ». Or, une résolution n’a pas de force contraignante, elle n’est qu’un « avis sur une question déterminée ».

Les textes internationaux ratifiés par la France ne reconnaissent pas plus l’interruption volontaire de grossesse comme un droit fondamental. La Cour européenne des droits de l’homme n’en protège les modalités que lorsqu’il est garanti par l’État.","(Veil, Assemblée nationale, la France, Cour européenne des droits de l’homme, État)","Le droit à l’interruption volontaire de grossesse n’est pas un droit fondamental, ce qui n’empêche pas un État de le reconnaître comme tel. ","Vincent Couronne, le 25 décembre 2016",https://lessurligneurs.eu/?p=1512
6,"François Fillon : ""Les droits fondamentaux sont ceux contenus dans la Constitution""",1514,2016-12-25 20:23:03,"Certes, la Constitution de la Ve République contient plusieurs sources de droits fondamentaux : la Déclaration des droits de l’homme et du citoyen de 1789, le Préambule de la Constitution de 1946 et la Charte de l’environnement de 2004.
Or, certains droits fondamentaux sont dégagés par le Conseil constitutionnel, comme les Principes fondamentaux reconnus par les lois de la République, dont la catégorie est certes prévue par le Préambule de la Constitution de 1946, mais qui sont identifiés par le juge, comme la liberté d’association.

II ne faut pas oublier non plus la Convention européenne des droits de l’homme, ni la Charte des droits fondamentaux de l’Union européenne, ni encore les principes généraux du droit dégagés par le juge français et de l’Union européenne. Ces libertés sont garanties par le juge au profit des individus qui les invoquent.","(Constitution de la Ve République, Déclaration des droits de l’homme, Préambule de la Constitution de 1946, Charte de l’environnement de 2004, Conseil, Principes, République, Préambule de la Constitution de 1946, Convention européenne des droits de l’homme, Charte des droits fondamentaux de l’Union européenne, Union européenne)","On trouve des droits fondamentaux en dehors de la Constitution, comme dans les textes internationaux ou de l’Union européenne, ou dans les décisions du juge.","Lauriane Tanguy, le 25 décembre 2016",https://lessurligneurs.eu/?p=1514
7,"François Fillon sur l’adoption plénière des couples de même sexe : ""La règle serait ainsi posée que la filiation ne peut être établie de manière exclusive qu’à l’égard de deux parents de sexes différents""",1516,2016-12-25 19:44:53,"Le candidat à l’élection présidentielle de 2017, voudrait revenir sur la loi Taubira de 2013 qui permettait le mariage et l’adoption des couples de même sexe. S’il ne souhaite pas revenir sur le mariage, il prévoit en revanche de supprimer l’adoption plénière à l’encontre, spécifiquement, des couples homosexuels.

Or, la Convention européenne des droits de l’Homme, que la France à ratifiée dés 1974 proscrit en son article 14, l’interdiction des discriminations des personnes sur le fondement de leur orientation sexuelle. Ce que la Cour européenne confirme dans son Arrêt X contre Autriche du 19 fevrier 2013. Cette interdiction se rattache, en l’espèce, à l’article 8 de cette même Convention sur le droit à une vie privée et familiale.","(loi Taubira, Convention européenne des droits de l’Homme, la France, Cour européenne, Arrêt X, Autriche, Convention)","Non, François Fillon ne pourra pas interdire la filiation exclusive aux parents de même sexe en cas d’adoption, car il exposerait la France à un risque de sanction par la Cour européenne des droits de l’homme.","Kevser Taspinar, le 25 décembre 2016",https://lessurligneurs.eu/?p=1516
8,"Recep Tayyip Erdogan sur le référendum de candidature de la Turquie à l’UE : ""Ce peuple décide pour lui-même, et coupe tout seul son cordon ombilical""",1518,2016-12-20 17:47:30,"

Parmi les sujets brûlants de l’Union européenne, la candidature de la Turquie occupe une place de choix, depuis longtemps et sans doute pour longtemps, de là à la considérer comme éternelle. S’il est vrai que l’Europe communautaire entretient des liens aussi anciens qu’étroits avec elle, la Turquie n’attend pas à sa porte depuis plus de 50 ans, pas plus que les négociations durent depuis près de 40 ans. L’accord d’association de 1963 ne préjuge en rien de l’adhésion, il tend seulement à établir un partenariat privilégié avec l’UE et peut représenter aussi bien une étape qu’un point d’arrivée, il ne s’agit pas de fiançailles préjugeant d’un mariage.

Quant aux négociations d’adhésion elles ont commencé le 3 octobre 2005 et avancent certes péniblement (un chapitre clos sur la quinzaine d’ouverts sur un total de 35) mais il est abusif de confondre une demande d’adhésion (1987) avec le début de négociations. Par ailleurs est régulièrement passée sous silence l’Union douanière entre l’UE et la Turquie achevée depuis 1996 et assurant en particulier une libre circulation des marchandises à laquelle les deux parties semblent attachées comme l’atteste les négociations sur sa modernisation entamées depuis mai 2015.

","(Union européenne, Turquie, Europe, Turquie, UE, Union douanière, UE, Turquie)",Toute rupture unilatérale de la Turquie s’agissant de son adhésion emporterait nécessairement des conséquences négatives sur l’ouverture du marché européen dont elle serait sans doute la première victime.,"D. B., le 20 décembre 2016",https://lessurligneurs.eu/?p=1518
9,"20 Minutes sur le déficit français : ""François Hollande avait promis de ramener dès 2013 le déficit sous la barre des 3 % exigés par Bruxelles.""",1520,2016-12-20 17:36:43,"Il est vrai qu’en 2012, François Hollande avait promis de ramener le déficit public sous la barre des 3%. Mais il ne faut pas faire d’amalgame : l’exigence de ramener le déficit public en-deçà de 3% n’est pas, comme l’écrit le quotidien, une exigence de Bruxelles. Cette règle est apparue en 1992 dans le Traité instituant la Communauté européenne (modifié par le traité de Maastricht), qui prévoyait en son article 104 C que les « États membres évitent les déficits publics excessifs ». Le Protocole sur la procédure concernant les déficits excessifs, inclus dans le Traité de Maastricht, prévoit qu’il y a déficit excessif lorsqu’il dépasse 3% du PIB. Or, le traité de Maastricht a été ratifié en France à la suite du référendum du 20 septembre 1992.","(François Hollande, Bruxelles, Traité, Communauté européenne, traité de Maastricht, 104 C, Protocole sur la procédure concernant les déficits excessifs, inclus dans, Traité de Maastricht, traité de Maastricht, France)","Ce n’est pas Bruxelles qui exige de repasser sous les 3% de déficit public, mais le peuple français par la voie du référendum.","Vincent Couronne, le 20 décembre 2016",https://lessurligneurs.eu/?p=1520
